DATE,IR3TIB01FRM156N
2022-06-01,-0.2392
2022-07-01,0.0366
2022-08-01,0.3947
2022-09-01,1.0109
2022-10-01,1.4277
2022-11-01,1.8252
2022-12-01,2.0635
2023-01-01,2.3449
2023-02-01,2.6403
2023-03-01,2.9106
2023-04-01,3.167
2023-05-01,3.3664
2023-06-01,3.5359
2023-07-01,3.6718
2023-08-01,3.7803
2023-09-01,3.88
2023-10-01,3.97
2023-11-01,3.97
2023-12-01,3.93
